Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT583802.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2017-03-06,,"Hepatitis delta virus isolate HD1-2000999-cg, complete genome"
MT583804.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2017-05-04,,"Hepatitis delta virus isolate HD1-2001073-cg, complete genome"
MT583805.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2017-06-19,,"Hepatitis delta virus isolate HD1-2001149-cg, complete genome"
MT583806.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2017-07-02,,"Hepatitis delta virus isolate HD1-2001167-cg, complete genome"
MT583808.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2017-07-12,,"Hepatitis delta virus isolate HD1-2001190-cg, complete genome"
MT583812.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2017-07-25,,"Hepatitis delta virus isolate HD1-2001228-cg, complete genome"
MT649259.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-08,,"Hepatitis delta virus isolate 17500008, complete genome"
MT649260.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-08,,"Hepatitis delta virus isolate 17500011, complete genome"
MT649261.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-08,,"Hepatitis delta virus isolate 17500012, complete genome"
MT649262.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-08,,"Hepatitis delta virus isolate 17500014, complete genome"
MT649263.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-08,,"Hepatitis delta virus isolate 17500023, complete genome"
MT649264.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-09,,"Hepatitis delta virus isolate 17500032, complete genome"
MT649265.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-15,,"Hepatitis delta virus isolate 17500038, complete genome"
MT649266.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-08,,"Hepatitis delta virus isolate 17500070, complete genome"
MT649267.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-18,,"Hepatitis delta virus isolate 17500073, complete genome"
MT649268.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-19,,"Hepatitis delta virus isolate 17500074, complete genome"
MT649269.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500095, complete genome"
MT649270.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500098, complete genome"
MT649271.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500103, complete genome"
MT649272.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500104, complete genome"
MT649273.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500113, complete genome"
MT649274.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500115, complete genome"
MT649275.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-29,,"Hepatitis delta virus isolate 17500118, complete genome"
MT649276.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-30,,"Hepatitis delta virus isolate 17500132, complete genome"
MT649277.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-31,,"Hepatitis delta virus isolate 17500141, complete genome"
MT649278.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-31,,"Hepatitis delta virus isolate 17500144, complete genome"
MT649279.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-05-31,,"Hepatitis delta virus isolate 17500148, complete genome"
MT649280.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-06-01,,"Hepatitis delta virus isolate 17500153, complete genome"
MT649281.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-06-02,,"Hepatitis delta virus isolate 17500156, complete genome"
MT649282.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-06-05,,"Hepatitis delta virus isolate 17500160, complete genome"
MT649283.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-06-05,,"Hepatitis delta virus isolate 17500161, complete genome"
MT649284.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-06-23,,"Hepatitis delta virus isolate 17500175, complete genome"
MT649285.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1674,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-07-19,,"Hepatitis delta virus isolate 17500185, complete genome"
MT649286.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-07-25,,"Hepatitis delta virus isolate 17500188, complete genome"
MT649287.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-07-21,,"Hepatitis delta virus isolate 17500378, complete genome"
MT649288.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-04-06,,"Hepatitis delta virus isolate 17500389, complete genome"
MT649289.1,,"Jackson,K., Tekoaua,R., Holgate,T., Edwards,R., Yuen,L., Lee,A., Nicholson,S., Littlejohn,M., Locarnini,S., Tuneti,K., Locarnini,S.A.",2020-08-17T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Kiribati,,Homo sapiens,,2017-03-09,,"Hepatitis delta virus isolate 17500394, complete genome"
MK598003.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2017-03-24,,"Rodent deltavirus isolate 1481, complete genome"
MK598004.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2014-01-25,,"Rodent deltavirus isolate 0183, complete genome"
MK598005.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2014-01-25,,"Rodent deltavirus isolate 0180, complete genome"
MK598006.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2014-04-03,,"Rodent deltavirus isolate 0377, complete genome"
MK598007.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2013-10-20,,"Rodent deltavirus isolate 0037, complete genome"
MK598008.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2013-10-20,,"Rodent deltavirus isolate 0034, complete genome"
MK598009.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2015-03-28,,"Rodent deltavirus isolate 0976, complete genome"
MK598010.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2016-10-20,,"Rodent deltavirus isolate 1056, complete genome"
MK598011.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2015-03-08,,"Rodent deltavirus isolate 0946, complete genome"
MK598012.2,,"Paraskevopoulou,S., Pirzer,F., Goldmann,N., Schmid,J., Corman,V.M., Gottula,L.T., Schroeder,S., Rasche,A., Muth,D., Drexler,J.F., Heni,A.C., Eibner,G.J., Page,R.A., Jones,T.C., Muller,M.A., Sommer,S., Glebe,D., Drosten,C., Mueller,M.A.",2020-07-10T00:00:00Z,Rodent deltavirus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Panama,,Proechimys semispinosus,blood,2014-03-30,,"Rodent deltavirus isolate 0354, complete genome"
MK962759.1,,"Chang,W.S., Pettersson,J.H., Le Lay,C., Shi,M., Lo,N., Wille,M., Eden,J.S., Holmes,E.C., Chang,W.-S., Pettersson,J.H.-O., Eden,J.-S.",2019-08-19T00:00:00Z,Termite HDV-like virus,Deltavirus,,ssRNA(-),1591,GenBank,complete,,,1,Australia,,,,,,"Termite HDV-like virus, complete genome"
MK962760.1,,"Chang,W.S., Pettersson,J.H., Le Lay,C., Shi,M., Lo,N., Wille,M., Eden,J.S., Holmes,E.C., Chang,W.-S., Pettersson,J.H.-O., Eden,J.-S.",2019-08-19T00:00:00Z,Toad HDV-like virus,Deltavirus,,ssRNA(-),1547,GenBank,complete,,,1,China,,Bufo gargarizans,lung,,,"Toad HDV-like virus, complete genome"
MN031239.1,,"Chang,W.S., Pettersson,J.H., Le Lay,C., Shi,M., Lo,N., Wille,M., Eden,J.S., Holmes,E.C., Chang,W.-S., Pettersson,J.H.-O., Eden,J.-S.",2019-08-19T00:00:00Z,Newt HDV-like virus,Deltavirus,,ssRNA(-),1735,GenBank,complete,,,1,China,,Cynops orientalis,,2017,,"Newt HDV-like virus, complete genome"
MN031240.1,,"Chang,W.S., Pettersson,J.H., Le Lay,C., Shi,M., Lo,N., Wille,M., Eden,J.S., Holmes,E.C., Chang,W.-S., Pettersson,J.H.-O., Eden,J.-S.",2019-08-19T00:00:00Z,Fish HDV-like virus,Deltavirus,,ssRNA(-),1606,GenBank,complete,,,1,China,,,gill,2017,,"Fish HDV-like virus, complete genome"
MH457142.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Spain,,Homo sapiens,blood,,,"Hepatitis delta virus isolate B01, complete genome"
MH457143.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Spain,,Homo sapiens,blood,,,"Hepatitis delta virus isolate B04, complete genome"
MH457144.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate E08-42059, complete genome"
