Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MN984414.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr127,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr127, complete genome"
MN984415.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr675,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1682,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr675, complete genome"
MN984416.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr393,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1680,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr393, complete genome"
MN984417.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1009,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1680,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1009, complete genome"
MN984418.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr476,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1681,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr476, complete genome"
MN984419.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr850,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1683,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr850, complete genome"
MN984420.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr731,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1673,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr731, complete genome"
MN984421.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr734,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1684,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr734, complete genome"
MN984422.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr683,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1685,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr683, complete genome"
MN984423.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr605,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1676,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr605, complete genome"
MN984424.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1279,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1677,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1279, complete genome"
MN984425.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr467,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr467, complete genome"
MN984426.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr493,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1671,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr493, complete genome"
MN984427.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr893,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1681,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr893, complete genome"
MN984428.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1290,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1677,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1290, complete genome"
MN984429.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1296,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1676,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1296, complete genome"
MN984430.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr656,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1680,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr656, complete genome"
MN984431.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr669,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1678,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr669, complete genome"
MN984432.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr857,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr857, complete genome"
MN984433.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1014,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1675,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1014, complete genome"
MN984434.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1026,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1675,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1026, complete genome"
MN984435.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1528,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1678,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1528, complete genome"
MN984436.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1281,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1281, complete genome"
MN984437.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr1,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1677,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr1, complete genome"
MN984438.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr2,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1675,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr2, complete genome"
MN984439.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr3,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1673,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr3, complete genome"
MN984440.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr4,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1670,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr4, complete genome"
MN984441.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr5,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1678,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr5, complete genome"
MN984442.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr6,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1685,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr6, complete genome"
MN984443.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr7,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr7, complete genome"
MN984444.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr8,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1674,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr8, complete genome"
MN984445.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr9,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1684,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr9, complete genome"
MN984446.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr10,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1674,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr10, complete genome"
MN984447.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr11,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1680,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr11, complete genome"
MN984448.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr12,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1683,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr12, complete genome"
MN984449.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr13,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr13, complete genome"
MN984450.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr14,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr14, complete genome"
MN984451.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr15,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1673,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr15, complete genome"
MN984452.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr16,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr16, complete genome"
MN984453.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr17,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1677,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr17, complete genome"
MN984454.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr18,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1678,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr18, complete genome"
MN984455.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr19,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1680,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr19, complete genome"
MN984456.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr24,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1685,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr24, complete genome"
MN984457.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr28,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1683,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr28, complete genome"
MN984458.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr30,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1673,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr30, complete genome"
MN984459.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr31,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr31, complete genome"
MN984460.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr33,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1677,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr33, complete genome"
MN984461.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr34,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1680,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr34, complete genome"
MN984462.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr35,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1688,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr35, complete genome"
MN984463.1,,"Ostankova,Y.V., Semenov,A.V., Zueva,E.B., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T.",2020-09-13T00:00:00Z,HDV_Kyr36,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1687,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2016,,"Hepatitis delta virus isolate HDV_Kyr36, complete genome"
