Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT127884.1,,"Sun,P., Zhang,L., Li,Z.",2021-02-03T00:00:00Z,AHVd2,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,433,GenBank,complete,,,,China: Shaanxi,China,,Malus domestica,plant leaf,,,"Apple hammerhead viroid isolate AHVd2, complete genome"
MT993976.1,,"Hamdi,I., Najar,A.",2020-11-21T00:00:00Z,AHVd-2,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,435,GenBank,complete,,,,Tunisia,Tunisia,,Malus domestica,,2019,,"Apple hammerhead viroid isolate AHVd-2, complete sequence"
MT993977.1,,"Hamdi,I., Najar,A.",2020-11-21T00:00:00Z,AHVd-1,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,433,GenBank,complete,,,,Tunisia,Tunisia,,Malus domestica,,2019,,"Apple hammerhead viroid isolate AHVd-1, complete sequence"
LC579906.1,,"Jeong,R.D., Lee,H.J.",2020-09-15T00:00:00Z,AP02,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,434,GenBank,complete,,,,China,China,,Malus domestica,,2020-03-04,,"Apple hammerhead viroid AP02 RNA, complete genome"
LC579907.1,,"Jeong,R.D., Lee,H.J.",2020-09-15T00:00:00Z,AP03,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Malus domestica,,2020-03-04,,"Peach latent mosaic viroid AP03 RNA, complete genome"
LC579922.1,,"Jeong,R.D., Lee,H.J.",2020-09-15T00:00:00Z,PP09,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2019-03-04,,"Peach latent mosaic viroid PP09 RNA, complete genome"
MK929586.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Champion,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Champion, complete genome"
MK929587.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Apolka,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,340,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Apolka, complete genome"
MK929588.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Venus,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,341,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Venus, complete genome"
MK929589.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Incrocio_Pieri,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Incrocio_Pieri, complete genome"
MK929590.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Cresthaven1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Cresthaven1, complete genome"
MK929591.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Suncrest,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Suncrest, complete genome"
MK929592.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUEI_Cresthaven2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2014-09,,"Peach latent mosaic viroid isolate HUEI_Cresthaven2, complete genome"
MK929593.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2020-06-19T00:00:00Z,HUES_Cresthaven,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,Hungary: Erd,Hungary,,Prunus persica,,2014-09,,"Peach latent mosaic viroid isolate HUES_Cresthaven, complete genome"
MN786529.1,,"Nabi,S.U., Baranwal,V.K.",2020-06-17T00:00:00Z,GD/CITH/Srinagar,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,436,GenBank,complete,,,,India,India,,Malus domestica,,2019-05,,"Apple hammerhead viroid isolate GD/CITH/Srinagar, complete sequence"
MN786530.1,,"Nabi,S.U., Baranwal,V.K.",2020-06-17T00:00:00Z,OS/CITH/Srinagar,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,434,GenBank,complete,,,,India,India,,Malus domestica,,2019-05,,"Apple hammerhead viroid isolate OS/CITH/Srinagar, complete sequence"
MN857143.1,,"Tuncel,F., Oksal,H.D., Sipahioglu,H.M.",2020-04-18T00:00:00Z,Malatya 1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,Turkey,Turkey,,Juglans regia,,,,"Peach latent mosaic viroid isolate Malatya 1, complete genome"
MN857144.1,,"Tuncel,F., Oksal,H.D., Sipahioglu,H.M.",2020-04-18T00:00:00Z,Malatya 2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,Turkey,Turkey,,Juglans regia,,,,"Peach latent mosaic viroid isolate Malatya 2, complete genome"
MK766391.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A1, complete genome"
MK766392.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A2, complete genome"
MK766393.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A3, complete genome"
MK766394.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A4,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A4, complete genome"
MK766395.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A5,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A5, complete genome"
MK766396.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,348,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A6, complete genome"
MK766397.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A7,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A7, complete genome"
MK766398.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A8,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A8, complete genome"
MK766399.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-A9,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-A9, complete genome"
MK766400.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G1, complete genome"
MK766401.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G2, complete genome"
MK766402.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G3, complete genome"
MK766403.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G4,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G4, complete genome"
MK766404.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G5,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G5, complete genome"
MK766405.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G6, complete genome"
MK766406.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G7,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G7, complete genome"
MK766407.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G8,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G8, complete genome"
MK766408.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G9,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G9, complete genome"
MK766409.1,,"Zhou,J., Hou,W., Zhang,Z., Wang,C., Jie,L., Wang,H., Li,S.",2019-10-30T00:00:00Z,PC-G10,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-11,,"Peach latent mosaic viroid isolate PC-G10, complete genome"
MK947213.1,,"Nickel,O., Fajardo,T.V.M., Candresse,T.",2019-07-16T00:00:00Z,Gala,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,436,GenBank,complete,,,,Brazil,Brazil,,Malus domestica,,1999-08-10,,"Apple hammerhead viroid isolate Gala, complete genome"
MH974826.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T01-2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2014-04-04,,"Peach latent mosaic viroid isolate T01-2, complete genome"
MH974827.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T01-6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2014-04-04,,"Peach latent mosaic viroid isolate T01-6, complete genome"
MH974828.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T01-11,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2014-04-04,,"Peach latent mosaic viroid isolate T01-11, complete genome"
MH974829.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T02-2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2014-04-04,,"Peach latent mosaic viroid isolate T02-2, complete genome"
MH974830.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T02-3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2014-04-04,,"Peach latent mosaic viroid isolate T02-3, complete genome"
MH974831.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T02-6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,,China,China,,Prunus persica,,2014-04-04,,"Peach latent mosaic viroid isolate T02-6, complete genome"
MH974832.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T03-1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T03-1, complete genome"
MH974833.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T03-2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T03-2, complete genome"
MH974834.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T03-3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T03-3, complete genome"
MH974835.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T04-1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T04-1, complete genome"
MH974836.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T04-2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T04-2, complete genome"
MH974837.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T04-3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T04-3, complete genome"
MH974838.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T05-2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T05-2, complete genome"
MH974839.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T05-3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T05-3, complete genome"
MH974840.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T05-5,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T05-5, complete genome"
MH974841.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T05-6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T05-6, complete genome"
MH974842.1,,"Xu,Y., Lu,M.",2019-05-01T00:00:00Z,T05-7,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,China,China,,Prunus persica,,2017-05-09,,"Peach latent mosaic viroid isolate T05-7, complete genome"
MK212033.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y1, complete genome"
MK212034.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y2, complete genome"
MK212035.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y3, complete genome"
MK212036.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y4,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y4, complete genome"
MK212037.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y5,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y5, complete genome"
MK212038.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y6, complete genome"
MK212039.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y7,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y7, complete genome"
MK212040.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g1, complete genome"
MK212041.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g2, complete genome"
MK212042.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g3, complete genome"
MK212043.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g4,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g4, complete genome"
MK212044.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g5,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g5, complete genome"
MK212045.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g6,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g6, complete genome"
MK212046.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g7,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g7, complete genome"
MK212047.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,g8,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate g8, complete genome"
MK212048.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y2-p1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y2-p1, complete genome"
MK212049.1,,"Delgado,S., Navarro,B., Serra,P., Gentit,P., Cambra,M.A., Chiumenti,M., De Stradis,A., Di Serio,F., Flores,R., Cambra,M.",2019-04-29T00:00:00Z,y2-p4,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,,,,Prunus persica,,,,"Peach latent mosaic viroid isolate y2-p4, complete genome"
