Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_003637.1,,"Martinez-Soriano,J.P., Galindo-Alonso,J., Maroon,C.J., Yucel,I., Smith,D.R., Diener,T.O., Maroon,C.",1998-07-23T00:00:00Z,,Mexican papita viroid,Pospiviroid,Pospiviroidae,ssRNA,360,RefSeq,complete,,,1,,,,,,,,"Mexican papita viroid, complete genome"
NC_001920.1,,"Szychowski,J.A., Semancik,J.S., Credi,R., Reanwarakorn,K.",1998-07-16T00:00:00Z,,Grapevine yellow speckle viroid 1,Apscaviroid,Pospiviroidae,ssRNA,366,RefSeq,complete,,,,,,,,,,,"Grapevine yellow speckle viroid 1, complete genome"
NC_001830.1,,"Hernandez,C., Elena,S.F., Moya,A., Flores,R.",1997-08-21T00:00:00Z,,Pear blister canker viroid,Apscaviroid,Pospiviroidae,ssRNA,315,RefSeq,complete,,,1,,,,,,,,"Pear blister canker viroid, complete genome"
NC_003463.1,,"Di Serio,F., Aparicio,F., Alioto,D., Ragozzino,A., Flores,R.",1997-01-08T00:00:00Z,,Apple dimple fruit viroid,Apscaviroid,Pospiviroidae,ssRNA,306,RefSeq,complete,,,,,,,Malus domestica,,,,"Apple dimple fruit viroid, complete genome"
NC_003613.1,,"Spieker,R.L.",1997-01-08T00:00:00Z,,Iresine viroid 1,Pospiviroid,Pospiviroidae,ssRNA,370,RefSeq,complete,,,1,,,,,,,,"Iresine viroid 1, complete genome"
NC_003682.1,,"Spieker,R.L., Saenger,H.L.",1997-01-08T00:00:00Z,,Coleus blumei viroid 2,Coleviroid,Pospiviroidae,ssRNA,301,RefSeq,complete,,,,,,,,,,,"Coleus blumei viroid 2, complete genome"
NC_003683.1,,"Spieker,R.L., Marinkovic,S., Sanger,H.L.",1997-01-08T00:00:00Z,,Coleus blumei viroid 3,Coleviroid,Pospiviroidae,ssRNA,364,RefSeq,complete,,,1,,,,Plectranthus scutellarioides,,,,"Coleus blumei viroid 3, complete genome"
NC_003882.1,,"Spieker,R.L., Saenger,H.L.",1997-01-08T00:00:00Z,,Coleus blumei viroid,Coleviroid,Pospiviroidae,ssRNA,295,RefSeq,complete,,,,,,,,,,,"Coleus blumei viroid, complete genome"
NC_001651.1,,"Ben-Shaul,A., Yang,G., Mogilner,N., Hadas,R., Mawassi,M., Gafny,R., Bar-Joseph,M.",1995-03-15T00:00:00Z,,Citrus bent leaf viroid,Apscaviroid,Pospiviroidae,ssRNA,315,RefSeq,complete,,,,,,,,,,,"Citrus bent leaf viroid, complete genome"
NC_001553.1,,"Kiefer,M.C., Owens,R.A., Diener,T.O.",1993-08-03T00:00:00Z,,Tomato apical stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,360,RefSeq,complete,,,1,,,,,,,,"Tomato apical stunt viroid, complete genome"
NC_001558.1,,"Kiefer,M.C., Owens,R.A., Diener,T.O.",1993-08-03T00:00:00Z,,Tomato planta macho viroid,Pospiviroid,Pospiviroidae,ssRNA,360,RefSeq,complete,,,1,,,,,,,,"Tomato planta macho viroid, complete genome"
NC_001462.1,,"Haseloff,J., Mohamed,N.A., Symons,R.H.",1993-08-02T00:00:00Z,,Coconut cadang-cadang viroid,Cocadviroid,Pospiviroidae,ssRNA,246,RefSeq,complete,,,,,,,,,,,"Coconut cadang-cadang viroid, complete genome"
NC_001464.1,,"Gross,H.J., Krupp,G., Domdey,H., Raba,M., Jank,P., Lossow,C., Alberty,H., Ramm,K., Sanger,H.L.",1993-08-02T00:00:00Z,,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,371,RefSeq,complete,,,1,,,,,,,,"Citrus exocortis viroid, complete genome"
NC_001471.1,,"Keese,P., Osorio-Keese,M.E., Symons,R.H.",1993-08-02T00:00:00Z,,Coconut tinangaja viroid,Cocadviroid,Pospiviroidae,ssRNA,254,RefSeq,complete,,,1,,,,,,,,"Coconut tinangaja viroid, complete genome"
NC_003612.1,,"Koltunow,A.M., Rezaian,M.A.",1993-08-02T00:00:00Z,,Grapevine yellow speckle viroid 2,Apscaviroid,Pospiviroidae,ssRNA,363,RefSeq,complete,,,1,,,,Vitis vinifera,,,,"Grapevine yellow speckle viroid 2, complete genome"
NC_003539.1,,"Puchta,H., Ramm,K., Luckinger,R., Hadas,R., Bar-Joseph,M., Snger,H.L., Freimueller,K., Saenger,H.L.",1991-12-10T00:00:00Z,,Citrus bark cracking viroid,Cocadviroid,Pospiviroidae,ssRNA,284,RefSeq,complete,,,1,,,,,,,,"Citrus viroid IV virus, complete genome"
NC_001340.1,,"Puchta,H., Luckinger,R., Yang,X.C., Hadidi,A., Sanger,H.L., Saenger,H.L.",1990-07-20T00:00:00Z,,Apple scar skin viroid,Apscaviroid,Pospiviroidae,ssRNA,329,RefSeq,complete,,,1,,,,,,,,"Apple scar skin viroid, complete genome"
NC_003681.1,,"Spieker,R.L., Haas,B., Charng,Y.C., Freimuller,K., Sanger,H.L., Saenger,H.L.",1990-07-13T00:00:00Z,,Coleus blumei viroid 1,Coleviroid,Pospiviroidae,ssRNA,248,RefSeq,complete,,,1,,,,,,,,"Coleus blumei viroid 1, complete genome"
NC_003553.1,,"Rezaian,M.A.",1990-02-28T00:00:00Z,,Australian grapevine viroid,Apscaviroid,Pospiviroidae,ssRNA,369,RefSeq,complete,,,1,,,,Vitis vinifera,plant leaf,,,"Australian grapevine viroid, complete genome"
NC_003538.1,,"Hammond,R., Smith,D.R., Diener,T.O., Hammond,R.W.",1989-12-12T00:00:00Z,,Columnea latent viroid,Pospiviroid,Pospiviroidae,ssRNA,370,RefSeq,complete,,,1,,,,,,,,"Columnea latent viroid, complete genome"
NC_001351.1,,"Sano,T., Hataya,T., Shikata,E.",1988-10-26T00:00:00Z,,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,302,RefSeq,complete,,,1,,,,,,,,"Hop stunt viroid, complete genome"
NC_003611.1,,"Puchta,H., Ramm,K., Sanger,H.L., Saenger,H.L.",1988-06-13T00:00:00Z,,Hop latent viroid,Cocadviroid,Pospiviroidae,ssRNA,256,RefSeq,complete,,,1,,,,,,,,"Hop latent viroid, complete genome"
NC_002015.1,,"Haseloff,J., Symons,R.H.",1982-11-03T00:00:00Z,,Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,356,RefSeq,complete,,,1,,,,,,,,"Chrysanthemum stunt viroid, complete genome"
NC_002030.1,,"Diener,T.O., Gross,H.J., Domdey,H., Lossow,C., Jank,P., Raba,M., Alberty,H., Sanger,H.L.",1982-06-09T00:00:00Z,,Potato spindle tuber viroid,Pospiviroid,Pospiviroidae,ssRNA,359,RefSeq,complete,,,2,,,,,,,,"Potato spindle tuber viroid, complete genome"
MT780547.1,,"Zhang,L.",2021-09-04T00:00:00Z,CVcV/SH01,Citrus viroid V,Apscaviroid,Pospiviroidae,ssRNA,293,GenBank,complete,,,,China,China,,Citrus,plant leaf,2020-04-10,,"Citrus viroid V isolate CVcV/SH01, complete genome"
MT780548.1,,"Zhang,L.",2021-09-04T00:00:00Z,CBCVd/SH01,Citrus bark cracking viroid,Cocadviroid,Pospiviroidae,ssRNA,284,GenBank,complete,,,,China,China,,Citrus,plant leaf,2020-04-10,,"Citrus bark cracking viroid isolate CBCVd/SH01, complete genome"
MT155389.1,,"Licciardello,G., Scuderi,G., Russo,M., Catara,A.F., Zicca,S., Abou Kubaa,R., Saponari,M.",2021-09-01T00:00:00Z,ABT-SR2,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,308,GenBank,complete,,,,Italy:Sicily,Italy,,Citrus limon,,2019,,"Hop stunt viroid - citrus isolate ABT-SR2, complete genome"
MT155390.1,,"Licciardello,G., Scuderi,G., Russo,M., Catara,A.F., Zicca,S., Abou Kubaa,R., Saponari,M.",2021-09-01T00:00:00Z,ABT-ZI2,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,312,GenBank,complete,,,,Italy:Sicily,Italy,,,,2019,,"Hop stunt viroid - citrus isolate ABT-ZI2, complete genome"
MT980842.1,,"Hanani,A., Djelouah,K., Drais,I., Khater,M.",2021-08-31T00:00:00Z,,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,293,GenBank,complete,,,,Egypt,Egypt,,,,2017-06,,"Hop stunt viroid clone Vk11, complete sequence"
MT980843.1,,"Hanani,A., Djelouah,K., Drais,I., Khater,M.",2021-08-31T00:00:00Z,,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,292,GenBank,complete,,,,Egypt,Egypt,,,,2017-07,,"Hop stunt viroid clone Vk18, complete sequence"
MT980844.1,,"Hanani,A., Djelouah,K., Drais,I., Khater,M.",2021-08-31T00:00:00Z,,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,295,GenBank,complete,,,,Egypt,Egypt,,,,2017-08,,"Hop stunt viroid clone Vk37, complete sequence"
MT980845.1,,"Hanani,A., Djelouah,K., Drais,I., Khater,M.",2021-08-31T00:00:00Z,,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,294,GenBank,complete,,,,Egypt,Egypt,,,,2017-09,,"Hop stunt viroid clone Vk39, complete sequence"
MT995842.1,,"Kong,L.L., Muhammad,B., Madzin,N.S., Vadamalai,G.",2021-08-31T00:00:00Z,B2,Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,354,GenBank,complete,,,,Malaysia,Malaysia,,Chrysanthemum,,,,"Chrysanthemum stunt viroid isolate B2, complete sequence"
MT995843.1,,"Kong,L.L., Muhammad,B., Madzin,N.S., Vadamalai,G.",2021-08-31T00:00:00Z,K5,Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,354,GenBank,complete,,,,Malaysia,Malaysia,,Chrysanthemum,,,,"Chrysanthemum stunt viroid isolate K5, complete sequence"
MT995844.1,,"Kong,L.L., Muhammad,B., Madzin,N.S., Vadamalai,G.",2021-08-31T00:00:00Z,K12,Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,354,GenBank,complete,,,,Malaysia,Malaysia,,Chrysanthemum,,,,"Chrysanthemum stunt viroid isolate K12, complete sequence"
MT995845.1,,"Kong,L.L., Muhammad,B., Madzin,N.S., Vadamalai,G.",2021-08-31T00:00:00Z,B4,Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,354,GenBank,complete,,,,Malaysia,Malaysia,,Chrysanthemum,,,,"Chrysanthemum stunt viroid isolate B4, complete sequence"
MW013136.1,,"Onelge,N.",2021-08-31T00:00:00Z,AdChr1,Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae,ssRNA,354,GenBank,complete,,,,Turkey,Turkey,,Chrysanthemum,,2019,,"Chrysanthemum stunt viroid isolate AdChr1, complete sequence"
MW383488.1,,"Zeitooni,H., Shams Bakhsh,M., Bani Hashemian,S.M.",2021-08-31T00:00:00Z,K4-S1,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,299,GenBank,complete,,,,Iran: Siavaraz,Iran,,Citrus japonica,plant leaf,2020-08,,"Hop stunt viroid isolate K4-S1, complete sequence"
MW383489.1,,"Zeitooni,H., Shams Bakhsh,M., Bani Hashemian,S.M.",2021-08-31T00:00:00Z,K2-S4,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,299,GenBank,complete,,,,Iran: Siavaraz,Iran,,Citrus japonica,plant leaf,2020-08,,"Hop stunt viroid isolate K2-S4, complete sequence"
MW422288.1,,"Verhoeven,J.T.J., Botermans,M., Schoen,R., Koenraadt,H., Roenhorst,J.W., Koenraadt,H.M.S.",2021-08-30T00:00:00Z,6184883,Pepper chat fruit viroid,Pospiviroid,Pospiviroidae,ssRNA,349,GenBank,complete,,,,,,,Capsicum annuum,plant seed,,,"Pepper chat fruit viroid isolate 6184883, complete genome"
MW422289.1,,"Verhoeven,J.T.J., Botermans,M., Schoen,R., Koenraadt,H., Roenhorst,J.W., Koenraadt,H.M.S.",2021-08-30T00:00:00Z,6184904-CLVd,Columnea latent viroid,Pospiviroid,Pospiviroidae,ssRNA,369,GenBank,complete,,,,,,,Capsicum annuum,plant seed,,,"Columnea latent viroid isolate 6184904-CLVd, complete genome"
MW422290.1,,"Verhoeven,J.T.J., Botermans,M., Schoen,R., Koenraadt,H., Roenhorst,J.W., Koenraadt,H.M.S.",2021-08-30T00:00:00Z,6184904-PCFVd,Pepper chat fruit viroid,Pospiviroid,Pospiviroidae,ssRNA,349,GenBank,complete,,,,,,,Capsicum annuum,plant seed,,,"Pepper chat fruit viroid isolate 6184904-PCFVd, complete genome"
MW422291.1,,"Verhoeven,J.T.J., Botermans,M., Schoen,R., Koenraadt,H., Roenhorst,J.W., Koenraadt,H.M.S.",2021-08-30T00:00:00Z,5785531,Potato spindle tuber viroid,Pospiviroid,Pospiviroidae,ssRNA,358,GenBank,complete,,,,,,,Capsicum annuum,plant seed,,,"Potato spindle tuber viroid isolate 5785531, complete genome"
MW422292.1,,"Verhoeven,J.T.J., Botermans,M., Schoen,R., Koenraadt,H., Roenhorst,J.W., Koenraadt,H.M.S.",2021-08-30T00:00:00Z,5379574,Pepper chat fruit viroid,Pospiviroid,Pospiviroidae,ssRNA,349,GenBank,complete,,,,,,,Solanum lycopersicum,plant seed,,,"Pepper chat fruit viroid isolate 5379574, complete genome"
MW422293.1,,"Verhoeven,J.T.J., Botermans,M., Schoen,R., Koenraadt,H., Roenhorst,J.W., Koenraadt,H.M.S.",2021-08-30T00:00:00Z,4483214,Potato spindle tuber viroid,Pospiviroid,Pospiviroidae,ssRNA,110,GenBank,complete,,,,,,,Solanum lycopersicum,plant seed,,,"Potato spindle tuber viroid isolate 4483214, complete genome"
MW883069.1,,"Smith,R.L., Shukla,M., Creelman,A., Lawrence,J., Singh,M., Xu,H., Li,X., Gardner,K., Nie,X., Li,X.S.",2021-08-22T00:00:00Z,Ca,Coleus blumei viroid 7,Coleviroid,Pospiviroidae,ssRNA,234,GenBank,complete,,,1,Canada,Canada,,Plectranthus scutellarioides,,2017-07,,"Coleus blumei viroid 7 isolate Ca, complete sequence"
MT454066.1,,"Sidharthan,V.K., Baranwal,V.K., Upadhyay,A., Sevanthi,A.M.",2021-08-07T00:00:00Z,TS_AGVd,Australian grapevine viroid,Apscaviroid,Pospiviroidae,ssRNA,370,GenBank,complete,,,,India,India,,Vitis vinifera,,,,"Australian grapevine viroid isolate TS_AGVd, complete sequence"
MT454067.1,,"Sidharthan,V.K., Baranwal,V.K., Upadhyay,A., Sevanthi,A.M.",2021-08-07T00:00:00Z,TS_GYSVd1,Grapevine yellow speckle viroid 1,Apscaviroid,Pospiviroidae,ssRNA,365,GenBank,complete,,,,India,India,,Vitis vinifera,,,,"Grapevine yellow speckle viroid 1 isolate TS_GYSVd1, complete sequence"
MT454068.1,,"Sidharthan,V.K., Baranwal,V.K., Upadhyay,A., Sevanthi,A.M.",2021-08-07T00:00:00Z,TS_GYSVd2,Grapevine yellow speckle viroid 2,Apscaviroid,Pospiviroidae,ssRNA,365,GenBank,complete,,,,India,India,,Vitis vinifera,,,,"Grapevine yellow speckle viroid 2 isolate TS_GYSVd2, complete sequence"
MT454069.1,,"Sidharthan,V.K., Baranwal,V.K., Upadhyay,A., Sevanthi,A.M.",2021-08-07T00:00:00Z,TS_HSVd,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,299,GenBank,complete,,,,India,India,,Vitis vinifera,,,,"Hop stunt viroid isolate TS_HSVd, complete sequence"
LC643026.1,,"Jeong,R.D., Lee,H.J.",2021-08-04T00:00:00Z,KMd,Apple scar skin viroid,Apscaviroid,Pospiviroidae,ssRNA,330,GenBank,complete,,,,South Korea,South Korea,,Malus domestica,,,,"Apple scar skin viroid KMd RNA, complete genome"
MZ202347.1,,"Knierim,D., Margaria,P., Menzel,W., Winter,S.",2021-08-01T00:00:00Z,DSMZ PV-1135,Pear blister canker viroid,Apscaviroid,Pospiviroidae,ssRNA,316,GenBank,complete,,,,Italy,Italy,,Pyrus,,,,"Pear blister canker viroid isolate DSMZ PV-1135, complete sequence"
MZ202348.1,,"Knierim,D., Margaria,P., Menzel,W., Winter,S.",2021-08-01T00:00:00Z,DSMZ PV-1136,Apple scar skin viroid,Apscaviroid,Pospiviroidae,ssRNA,330,GenBank,complete,,,,Italy,Italy,,Malus sp.,,,,"Apple scar skin viroid isolate DSMZ PV-1136, complete sequence"
MZ463745.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-1,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,387,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-1, complete sequence"
MZ463746.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-2,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,387,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-2, complete sequence"
MZ463747.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-3,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,387,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-3, complete sequence"
MZ463748.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-4,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,387,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-4, complete sequence"
MZ463749.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-5,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,391,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-5, complete sequence"
MZ463750.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-6,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,392,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-6, complete sequence"
MZ463751.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-7,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,393,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-7, complete sequence"
MZ463752.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-8,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-8, complete sequence"
MZ463753.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-9,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-9, complete sequence"
MZ463754.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-10,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-10, complete sequence"
MZ463755.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-11,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-11, complete sequence"
MZ463756.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-12,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-12, complete sequence"
MZ463757.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-13,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-13, complete sequence"
MZ463758.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-14,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,394,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-14, complete sequence"
MZ463759.1,,"Hu,H., Zhao,L.",2021-07-28T00:00:00Z,MR-15,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,ssRNA,410,GenBank,complete,,,,China,China,,,,2019,,"Citrus exocortis Yucatan viroid isolate MR-15, complete sequence"
MZ476527.1,,"Yuan,Y.-W., Fu,C.-Y., Sun,P.-P., Ma,Q., Zhang,L., Li,Z.-N.",2021-07-27T00:00:00Z,ASSVd-Hohhot,Apple scar skin viroid,Apscaviroid,Pospiviroidae,ssRNA,330,GenBank,complete,,,,China: Inner Mongolia,China,,Malus pumila,plant leaf,,,"Apple scar skin viroid isolate ASSVd-Hohhot, complete genome"
MZ196515.1,,"Navrotskaya,E.V., Vinogradova,S.V.",2021-07-04T00:00:00Z,V263o,Grapevine yellow speckle viroid 2,Apscaviroid,Pospiviroidae,ssRNA,363,GenBank,complete,,,,Russia: Krasnodar region,Russia,,Vitis vinifera,,2017-07,,"Grapevine yellow speckle viroid 2 isolate V263o, complete genome"
MZ196517.1,,"Navrotskaya,E.V., Vinogradova,S.V.",2021-07-04T00:00:00Z,V1609q,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,298,GenBank,complete,,,,Russia: Krasnodar region,Russia,,,,2018-09,,"Hop stunt viroid isolate V1609q, complete genome"
MT702580.1,,"Jo,Y., Cho,W.K.",2021-06-29T00:00:00Z,p4r,Hop stunt viroid,Hostuviroid,Pospiviroidae,ssRNA,297,GenBank,complete,,,,South Korea,South Korea,,Prunus persica,,2019,,"Hop stunt viroid isolate p4r, complete genome"
MZ326144.1,,"Orellana,G., Karasev,A.V., Orellana,G.E.",2021-06-22T00:00:00Z,CbVd-1_US_FM,Coleus blumei viroid 1,Coleviroid,Pospiviroidae,ssRNA,249,GenBank,complete,,,1,USA: Oregon,USA,OR,Plectranthus scutellarioides,,2021-04,,"Coleus blumei viroid 1 isolate CbVd-1_US_FM, complete genome"
MZ326145.1,,"Orellana,G., Karasev,A.V., Orellana,G.E.",2021-06-22T00:00:00Z,CbVD-1_US_LB,Coleus blumei viroid 1,Coleviroid,Pospiviroidae,ssRNA,249,GenBank,complete,,,1,USA: Oregon,USA,OR,Plectranthus scutellarioides,,2021-04,,"Coleus blumei viroid 1 isolate CbVD-1_US_LB, complete genome"
MZ326146.1,,"Orellana,G., Karasev,A.V., Orellana,G.E.",2021-06-22T00:00:00Z,CbVd-1_US_SR,Coleus blumei viroid 1,Coleviroid,Pospiviroidae,ssRNA,249,GenBank,complete,,,1,USA: Oregon,USA,OR,Plectranthus scutellarioides,,2021-04,,"Coleus blumei viroid 1 isolate CbVd-1_US_SR, complete genome"
MW732682.1,,"Xu,D., Adkar-Purushothama,C.R., Lemoyne,P., Perreault,J.P. Jr., Fall,M.",2021-06-20T00:00:00Z,BIO6-25J_GYSVd-1,Grapevine yellow speckle viroid 1,Apscaviroid,Pospiviroidae,ssRNA,366,GenBank,complete,,,1,"Canada: Frelighsburg, Quebec",Canada,,Vitis sp.,,2020-07-22,,"Grapevine yellow speckle viroid 1 isolate BIO6-25J_GYSVd-1, complete genome"
MW732683.1,,"Xu,D., Adkar-Purushothama,C.R., Lemoyne,P., Perreault,J.P. Jr., Fall,M.",2021-06-20T00:00:00Z,BIO6-25S_GYSVd-1,Grapevine yellow speckle viroid 1,Apscaviroid,Pospiviroidae,ssRNA,366,GenBank,complete,,,1,"Canada: Frelighsburg, Quebec",Canada,,Vitis sp.,,2020-09-17,,"Grapevine yellow speckle viroid 1 isolate BIO6-25S_GYSVd-1, complete genome"
