MT993977.1	MT993977.1
MG711759.1	MG711745.1
MG711759.1	MG711744.1
MG711759.1	MG711746.1
MG711759.1	MG711756.1
MG711759.1	MG711757.1
MG711759.1	MG711761.1
MG711759.1	MG711769.1
MG711759.1	MG711785.1
MG711759.1	MG711787.1
MG711759.1	MG711675.1
MG711764.1	MG711764.1
MG711765.1	MG711765.1
MG711765.1	MG711679.1
MG711765.1	MG711680.1
MG711765.1	MG711685.1
MG711765.1	MG711689.1
MG711765.1	MG711711.1
MG711765.1	MG711714.1
MG711765.1	MG711723.1
MG711765.1	MG711724.1
MG711765.1	MG711729.1
MG711765.1	MG711751.1
MG711765.1	MG711735.1
MG711765.1	MG711773.1
MG711765.1	MG711758.1
MG711765.1	MG711760.1
MG711765.1	MG711768.1
MG711765.1	MG711772.1
MG711765.1	MG711779.1
MG711765.1	MG711781.1
MG711765.1	MG711790.1
MG711765.1	MG711739.1
MG711767.1	MG711767.1
MG711767.1	MG711683.1
MG711767.1	MG711684.1
MG711767.1	MG711703.1
MG711767.1	MG711716.1
MG711767.1	MG711720.1
MG711767.1	MG711727.1
MG711767.1	MG711728.1
MG711767.1	MG711736.1
MG711767.1	MG711737.1
MG711767.1	MG711749.1
MG711767.1	MG711750.1
MG711767.1	MG711766.1
MG711767.1	MG711770.1
MG711767.1	MG711771.1
MG711767.1	MG711784.1
MG711767.1	KY861355.1
MG711777.1	MG711777.1
MG711777.1	MG711671.1
MG711777.1	MG711710.1
MG711777.1	MG711730.1
MG711777.1	MG711780.1
MG711777.1	KY861353.1
MG711783.1	MG711783.1
MG711783.1	MG711741.1
MG711783.1	MG711786.1
MG711783.1	MG711804.1
MG711788.1	MG711788.1
MG711788.1	MG711687.1
MG711788.1	MG711673.1
MG711788.1	MG711709.1
MG711788.1	MG711733.1
MG711788.1	MG711776.1
MG711789.1	MG711789.1
MG711791.1	MG711791.1
MG711794.1	MG711794.1
MG711794.1	MG711798.1
MG711799.1	MG711799.1
MG711800.1	MG711800.1
MG711800.1	MG711712.1
MG711800.1	MG711717.1
MG711800.1	MG711740.1
MG711800.1	MG711743.1
MG711800.1	MG711747.1
MG711800.1	KM110790.1
MG711800.1	KM110791.1
MG711800.1	KM110795.1
MG711800.1	MG711668.1
MG711800.1	KM110801.1
MG711800.1	KM110796.1
MG711800.1	KM110798.1
MG711800.1	KM110800.1
MG711801.1	MG711801.1
KY861351.1	KY861351.1
KY861354.1	KY861354.1
KY463680.1	KY463680.1
KY463680.1	KY463678.1
KY463681.1	KY463681.1
KY463681.1	KY463677.1
KY463681.1	KY463679.1
KY463681.1	KY463682.1
KY463681.1	U81989.1
KM110794.1	KM110794.1
KM110794.1	KM110792.1
KM110794.1	KM110797.1
KM110794.1	KM110799.1
KJ744232.1	KJ744232.1
KJ744233.1	KJ744233.1
KJ744233.1	MN984449.1
KJ744233.1	MN984452.1
KJ744233.1	MN984459.1
KJ744233.1	MK124579.1
KJ744233.1	AJ307077.1
KJ744233.1	M21012.1
KJ744233.1	KJ744235.1
KJ744233.1	KJ744250.1
KJ744233.1	HM046802.1
KJ744233.1	MN984453.1
KJ744233.1	AF098261.1
KJ744233.1	AJ000558.1
KJ744240.1	KJ744240.1
KJ744242.1	KJ744242.1
KJ744242.1	KJ744238.1
KJ744245.1	KJ744245.1
KJ744245.1	MN984464.1
KJ744245.1	MN984465.1
KJ744245.1	KJ744218.1
KJ744245.1	AY633627.1
KF660598.1	KF660598.1
KF660600.1	KF660600.1
KF660600.1	MN984434.1
KF660600.1	MN984438.1
KF660600.1	AY648956.1
KF660600.1	AY648957.1
KF660600.1	AB118849.1
KF660600.1	MH457148.1
KF660600.1	KJ744220.1
KF660600.1	AF104263.1
HF679404.1	HF679404.1
HF679404.1	KC590319.1
HF679404.1	HF679405.1
HF679404.1	HF679406.1
HF679404.1	AB037947.1
HF679404.1	AB037948.1
HF679404.1	AB037949.1
GU177114.1	GU177114.1
HQ005365.1	HQ005365.1
HQ005365.1	HQ005368.1
HQ005366.1	HQ005366.1
HQ005369.1	HQ005369.1
HQ005370.1	HQ005370.1
HQ005371.1	HQ005371.1
HQ005371.1	HQ005364.1
HQ005371.1	HQ005367.1
HQ005372.1	HQ005372.1
EF514903.1	EF514903.1
EF514903.1	EF514904.1
EF514903.1	EF514905.2
EF514903.1	EF514906.1
EF514903.1	EF514907.1
AY261458.1	AY261458.1
AB118825.1	AB118825.1
AB118825.1	AB118818.1
AB118825.1	AB118827.1
AB118825.1	AB118819.1
AB118825.1	AB118820.1
AB118825.1	AB118821.1
AB118825.1	AB118822.1
AB118825.1	AB118823.1
AB118825.1	AB118831.1
AB118825.1	AB118833.1
AB118825.1	AB118836.1
AB118825.1	AB118837.1
AB118825.1	AB118824.1
AB118825.1	AB118826.1
AB118825.1	AB118828.1
AB118825.1	AB118829.1
AB118825.1	AB118832.1
AB118825.1	AB118834.1
AB118825.1	AB118839.1
AB118825.1	AB118830.1
AB118825.1	AB118838.1
AB118825.1	AB118840.1
MK188701.1	MK188701.1
MK188701.1	MK188689.1
MK188701.1	MK188686.1
MK188701.1	MK188687.1
MK188701.1	MK188688.1
MK188701.1	MK188691.1
MK188701.1	MK188693.1
MK188701.1	MG662374.1
MH643697.1	MH643697.1
MH643697.1	MH643702.1
MH643697.1	MH643704.1
MH643697.1	MH643705.1
MH643697.1	MH643706.1
MH643697.1	MH643707.1
MH643697.1	MH643708.1
MH643697.1	MH643709.1
MH643697.1	MH643710.1
MH643697.1	MH643711.1
MF574160.1	MF574160.1
KY355170.1	KY355170.1
KY355170.1	KY355176.1
KY355170.1	KY355209.1
KY355170.1	KY355221.1
KY355170.1	KT033034.1
KY355170.1	KT033038.1
KY355170.1	KT033040.1
KY355170.1	KT033042.1
KY355170.1	KT033046.1
KY355170.1	KT033047.1
KY355170.1	JF898803.1
KY355170.1	KY355218.1
KY355170.1	KY355224.1
KY355170.1	KY355225.1
KY355170.1	KY355227.1
KY355170.1	KY355230.1
KY355170.1	KY355232.1
KY355170.1	KY355233.1
KY355170.1	KY355235.1
KY355170.1	KY355238.1
KY355170.1	KY355234.1
KY355170.1	KY355236.1
KY355170.1	KY355261.1
KY355170.1	KY355263.1
KY355170.1	KY355203.1
KY355170.1	KY355207.1
KY355170.1	KY355214.1
KY355170.1	KY355264.1
KY355170.1	KY355266.1
KY355170.1	KY355267.1
KY355170.1	KY355276.1
KY355170.1	KY355281.1
KY355170.1	KY355302.1
KY355170.1	KY355303.1
KY355170.1	KY355306.1
KY355170.1	KY355307.1
KY355170.1	KY355308.1
KY355170.1	KY355309.1
KY355170.1	KY355310.1
KY355170.1	KY355311.1
KY355170.1	KY355312.1
KY355170.1	KY355314.1
KY355170.1	KY355316.1
KY355170.1	KY355318.1
KY355170.1	KY355320.1
KY355170.1	KY355321.1
KY355170.1	JF898794.1
KY355170.1	JF898825.1
KY355170.1	JF898826.1
KY355170.1	DQ680704.1
KY355170.1	DQ680706.1
KY355170.1	DQ680707.1
KY355170.1	KT033035.1
KY355170.1	KT033037.1
KY355170.1	KT033039.1
KY355170.1	KT033041.1
KY355170.1	KT033045.1
KY355170.1	KT033048.1
KY355170.1	KT033052.1
KY355170.1	JF898816.1
KY355189.1	KY355189.1
AY222077.1	AY222077.1
AY222077.1	HM043814.1
AY222077.1	AY222074.1
AY222077.1	AY222076.1
AY222078.1	AY222078.1
AY222078.1	AY222075.1
KY355334.1	KY355334.1
KY355334.1	KY355280.1
KY355334.1	KY355210.1
KY355334.1	KY355304.1
KY355334.1	KY355305.1
KY355334.1	KY355313.1
KY355334.1	KY355315.1
KY355334.1	KY355317.1
KY355334.1	KY355282.1
KY355334.1	LC469622.1
KY355334.1	KY355283.1
KY355334.1	KY355289.1
KY355334.1	KY355290.1
KY355334.1	KY355293.1
KY355334.1	KY355294.1
KY355334.1	KY355296.1
KY355334.1	KY355297.1
KY355334.1	KY355299.1
KY355334.1	KY355300.1
KY355334.1	KY355322.1
KY355334.1	KY355323.1
KY355334.1	KY355324.1
KY355334.1	KY355325.1
KY355334.1	KY355328.1
KY355334.1	KY355329.1
KY355334.1	KY355330.1
KY355334.1	KY355331.1
KY355334.1	KY355332.1
KY355334.1	KY355333.1
KY355334.1	KY355335.1
KY355334.1	KY355336.1
KY355334.1	KY355339.1
KY355334.1	KY355341.1
KY355334.1	KY355363.1
KY355334.1	KY355364.1
KY355334.1	KY355365.1
KY355334.1	KY355366.1
KY355334.1	KY355373.1
KY355334.1	KY355377.1
KY355334.1	KY355378.1
KY355334.1	KY355379.1
KY355334.1	KY310589.1
MF173438.1	MF173438.1
MF173438.1	NC_003540.1
MF173438.1	KP262531.1
MF173438.1	KP262532.1
MF173438.1	KP262533.1
MF173438.1	LC017918.1
MF173438.1	HQ891014.1
MF173438.1	FJ647420.1
MF173438.1	FJ647425.1
MF173438.1	FJ647466.1
MF173438.1	FJ647475.1
MF173438.1	FJ647480.1
MF173438.1	FJ647495.1
MF173438.1	FJ647496.1
MF173438.1	FJ647499.1
MF173438.1	FJ647502.1
MF173438.1	FJ647511.1
MF173438.1	FJ647529.1
MF173438.1	FJ647530.1
MF173438.1	FJ647543.1
MF173438.1	MF173440.1
MF173438.1	MF173439.1
MF173438.1	GQ221776.1
MF173438.1	HQ891015.1
MF173438.1	HQ891016.1
MF173438.1	HQ891017.1
MF173438.1	AB181857.1
MF173438.1	AB181859.1
MF173438.1	AB181860.1
MF173438.1	FN669541.1
MF173438.1	FN646404.1
MF173438.1	FJ647416.1
MF173438.1	FJ647419.1
MF173438.1	FJ647423.1
MF173438.1	FJ647452.1
MF173438.1	FJ647453.1
MF173438.1	FJ647458.1
MF173438.1	FJ647515.1
MF173438.1	FJ647518.1
MF173438.1	FJ647531.1
MF173438.1	FJ647535.1
MF173438.1	FJ647537.1
MF173438.1	FJ647538.1
MF173438.1	FJ647544.1
MF173438.1	FJ647546.1
MF173438.1	FJ647427.1
MF173438.1	FJ647437.1
MF173438.1	FJ647438.1
MF173438.1	FJ647439.1
MF173438.1	FJ647443.1
MF173438.1	FJ647445.1
MF173438.1	FJ647465.1
MF173438.1	FJ647446.1
MF173438.1	FJ647447.1
MF173438.1	FJ647426.1
MF173438.1	FJ647448.1
MF173438.1	FJ647451.1
MF173438.1	FJ647462.1
MF173438.1	FJ647454.1
MF173438.1	FJ647455.1
MF173438.1	FJ647456.1
MF173438.1	FJ647457.1
MF173438.1	FJ647533.1
MF173438.1	FJ647459.1
MF173438.1	FJ647545.1
MF173438.1	FJ647461.1
MF173438.1	FJ647463.1
MF173438.1	FJ647469.1
MF173438.1	FJ647470.1
MF173438.1	FJ647471.1
MF173438.1	FJ647472.1
MF173438.1	FJ647474.1
MF173438.1	FJ647514.1
MF173438.1	FJ647476.1
MF173438.1	FJ647481.1
MF173438.1	FJ647482.1
MF173438.1	FJ647483.1
MF173438.1	FJ647484.1
MF173438.1	FJ647485.1
MF173438.1	FJ647493.1
MF173438.1	FJ647494.1
MF173438.1	FJ647422.1
MF173438.1	FJ647497.1
MF173438.1	FJ647498.1
MF173438.1	FJ647501.1
MF173438.1	FJ647504.1
MF173438.1	FJ647510.1
MF173438.1	FJ647492.1
MF173438.1	FJ647513.1
MF173438.1	FJ647517.1
MF173438.1	FJ647418.1
MF173438.1	FJ647444.1
MF173438.1	FJ647522.1
MF173438.1	FJ647523.1
MF173438.1	FJ647532.1
MF173438.1	FJ647536.1
MF173438.1	FJ647548.1
MF173438.1	FJ647553.1
MF173438.1	DQ402041.1
MF173438.1	FJ647421.1
MF173438.1	FJ647503.1
MF173438.1	FJ647512.1
MF173438.1	DQ450682.1
MF173438.1	AB181858.1
LC333096.1	LC333096.1
LC333096.1	KJ754183.1
EU888595.1	EU888595.1
EU888595.1	NC_001410.1
EU888595.1	HQ700589.1
EU888595.1	HQ700590.1
EU888595.1	HQ700591.1
EU888595.1	EU888588.1
EU888595.1	EU888589.1
EU888595.1	EU888591.1
EU888595.1	EU888592.1
EU888595.1	EU888594.1
EU888595.1	EU888596.1
EU888595.1	EU888597.1
EU888595.1	EU888593.1
EU888595.1	AF404029.1
EU888595.1	AF404030.1
EU888595.1	AF404031.1
EU888595.1	AF404032.1
EU888595.1	AF404033.1
EU888595.1	AF404034.1
EU888595.1	AF404035.1
EU888595.1	AF404040.1
EU888595.1	AF404048.1
EU888595.1	AF404070.1
EU888595.1	AF404037.1
EU888595.1	AF404065.1
EU888595.1	AF404071.1
EU888595.1	AF404038.1
EU888595.1	AF404039.1
EU888595.1	AF404041.1
EU888595.1	AF404042.1
EU888595.1	AF404043.1
EU888595.1	AF404044.1
EU888595.1	AF404046.1
EU888595.1	AF404047.1
EU888595.1	AF404045.1
EU888595.1	AF404049.1
EU888595.1	AF404052.1
EU888595.1	AF404055.1
EU888595.1	AF404057.1
EU888595.1	AF404059.1
EU888595.1	AF404053.1
EU888595.1	AF404054.1
EU888595.1	AF404056.1
EU888595.1	AF404058.1
EU888595.1	AF404060.1
EU888595.1	AF404061.1
EU888595.1	AF404062.1
EU888595.1	AF404063.1
EU888595.1	AF404064.1
EU888595.1	AF404050.1
EU888595.1	AF404066.1
EU888595.1	AF404067.1
EU888595.1	AF404068.1
EU888595.1	AF404069.1
EU888595.1	AF404036.1
EU888595.1	AF404072.1
EU888595.1	AF404073.1
MK598011.2	MK598011.2
MK598011.2	MK598003.2
MK598011.2	MK598010.2
MK890224.1	MK890224.1
MK890228.1	MK890228.1
MK890228.1	MK890227.1
MK890228.1	MK890230.1
MK890228.1	MK890232.1
MK890228.1	MK890234.1
MK890228.1	MK890235.1
MK890228.1	MN984445.1
MK890228.1	KJ744225.1
MK890228.1	KJ744234.1
MK890228.1	KJ744237.1
MK890231.1	MK890231.1
MK890231.1	MN984447.1
MK890231.1	KJ744253.1
MK890233.1	MK890233.1
MK890233.1	KJ744241.1
MK962759.1	MK962759.1
MK962760.1	MK962760.1
MN031239.1	MN031239.1
MN031240.1	MN031240.1
MH844625.1	MH844625.1
MH844625.1	MK890229.1
MH791030.1	MH791030.1
MH791030.1	MN984461.1
MH791030.1	MH791028.1
MH791030.1	MN984460.1
MH457146.1	MH457146.1
MH457146.1	MN984440.1
MH457146.1	MN984417.1
MH457146.1	MN984430.1
MH457146.1	MN984455.1
MH457146.1	KT722840.1
MH457146.1	MN984425.1
MH457146.1	MN984450.1
MH457146.1	MH791027.1
MH457146.1	MH791029.1
MH457146.1	MN984467.1
MH457146.1	MN984469.1
MH457146.1	MG926380.1
MH457149.1	MH457149.1
MH457152.1	MH457152.1
MH457152.1	MH457145.1
MH457152.1	MN984426.1
MH457152.1	KF660601.1
MH457152.1	KF660602.1
MH457152.1	MT583798.1
MH457152.1	MT583804.1
MH457152.1	MT583806.1
MH457152.1	MT583808.1
MG557659.1	MG557659.1
MG557659.1	MK234591.1
MG557659.1	MK234592.1
MG557659.1	MK234593.1
MG557659.1	MG557658.1
MG557659.1	KF660599.1
MG557659.1	MK234594.1
MG557659.1	AY261459.1
MG557659.1	AY261457.1
MG557659.1	AY261460.1
MG557659.1	AB118846.1
MG557659.1	AF425645.1
MG557659.1	AF104264.1
MG711663.1	MG711663.1
MG711663.1	MG711696.1
MG711663.1	MG711802.1
MG711664.1	MG711664.1
MG711667.1	MG711667.1
MG711667.1	MG711672.1
MG711667.1	MG711690.1
MG711667.1	MG711691.1
MG711667.1	MG711697.1
MG711667.1	MG711706.1
MG711667.1	MG711713.1
MG711667.1	MG711725.1
MG711667.1	MG711731.1
MG711667.1	MG711734.1
MG711667.1	MG711763.1
MG711667.1	KY861350.1
MG711676.1	MG711676.1
MG711676.1	MG711778.1
MG711676.1	MG711732.1
MG711682.1	MG711682.1
MG711682.1	MG711670.1
MG711682.1	MG711695.1
MG711682.1	MG711795.1
MG711682.1	KM110802.1
MG711682.1	KM110803.1
MG711682.1	KM110805.1
MG711682.1	KM110804.1
MG711693.1	MG711693.1
MG711699.1	MG711699.1
MF510389.1	MF510389.1
MF804512.1	MF804512.1
MF804512.1	NC_021720.1
MG431973.1	MG431973.1
MG431973.1	KJ466327.1
MG431973.1	KJ466328.1
MG431973.1	KJ466329.1
MG431973.1	KJ466330.1
MG431973.1	KJ466331.1
MG431973.1	KJ466332.1
MG431973.1	MT769770.1
MG431973.1	MT769771.1
MG431973.1	MT410770.1
MG431973.1	MT410769.1
MG431973.1	MF576419.1
MG431973.1	MF576417.1
MG431973.1	MF576422.1
MG431973.1	MF774868.1
MG431973.1	MF774874.1
MG431973.1	KF007321.1
MG431973.1	KF007324.1
MG431973.1	KF916041.1
MG431973.1	KF534763.1
MG431973.1	KC771556.1
MG431973.1	EF151290.1
MG431973.1	AY460201.1
MG431973.1	KC771545.1
MG431973.1	KC771546.1
MG431973.1	EF523825.1
MG431973.1	EF523827.1
MG431973.1	EF523826.1
MG431973.1	EF151291.1
MG431973.1	DQ371446.1
KY646193.1	KY646193.1
KY328288.1	KY328288.1
KY810771.1	KY810771.1
KY810771.1	JQ362419.1
KY810771.1	AY365230.1
KY810771.1	NC_003538.1
KY810771.1	KY235369.1
KY810771.1	KM214218.1
KY810771.1	KM214216.1
KY810771.1	KM214219.1
KY810771.1	KM214217.1
KY810771.1	KM214221.1
KY810771.1	KC143289.1
KY810771.1	KC143290.1
KY810771.1	KC143291.1
KY810771.1	KC143294.1
KY810771.1	JF742641.1
KY810771.1	JF446919.1
KY810771.1	JF446924.1
KY810771.1	JF446928.1
KY810771.1	JF446931.1
KY810771.1	KC143292.1
KY810771.1	JF742634.1
KY810771.1	KC143293.1
KY810771.1	JF742632.1
KY810771.1	JF742635.1
KY810771.1	JF742633.1
KY810771.1	JF742636.1
KY810771.1	JF446915.1
KY810771.1	JF446916.1
KY810771.1	JF446917.1
KY810771.1	JF446918.1
KY810771.1	JF446920.1
KY810771.1	JF446922.1
KY810771.1	JF446923.1
KY810771.1	JF446925.1
KY810771.1	JF446926.1
KY810771.1	JF446932.1
KY810771.1	JF446934.1
KY810771.1	JF446936.1
KY810771.1	JF446937.1
KY810771.1	JF446938.1
KY810771.1	JF446939.1
KY810771.1	JF446921.1
KY810771.1	JF446927.1
KY810771.1	JF446930.1
KY810771.1	JF446929.1
KY810771.1	HM043810.1
KY810771.1	HM043812.1
KY810771.1	HM043813.1
KY810771.1	HM043817.1
KY810771.1	HM043815.1
KY810771.1	HM043816.1
KY810771.1	HM043811.1
KY810771.1	FJ394070.1
KY810771.1	HG916813.1
KY810771.1	FJ394071.1
KY810771.1	EF015581.1
KY810771.1	DQ923060.1
KY810771.1	DQ923058.1
KY810771.1	DQ923061.1
KY810771.1	DQ923059.1
KY810771.1	AY367350.1
KY810771.1	AY222073.1
KY810771.1	AY222072.1
MF774864.1	MF774864.1
MF774864.1	MT410768.1
MF774864.1	KF927099.2
MF774864.1	EU365356.1
MF774864.1	DQ371439.1
MF774864.1	DQ371441.1
MF774864.1	DQ371454.1
MF774865.1	MF774865.1
KX966257.1	KX966257.1
KY110720.1	KY110720.1
KY110720.1	MN885658.1
KY110720.1	MN885659.1
KY110720.1	MN885660.1
KY110721.1	KY110721.1
KY110721.1	KY110722.1
MF421250.1	MF421250.1
MF421255.1	MF421255.1
MF421255.1	MF421252.1
MF421255.1	MF421254.1
MF421255.1	NC_003539.1
MF421255.1	MG457786.1
MF421255.1	MG457787.1
MF421255.1	MF421251.1
MF421255.1	KX819245.1
MF421255.1	KX819246.1
MF421255.1	KM211546.1
MF421255.1	KM211547.1
MF421255.1	JX259420.1
MF421255.1	HM042744.1
MF421255.1	MN136645.1
MF421255.1	MG457788.1
MF421255.1	MG457789.1
MF421255.1	MG457790.1
MF421255.1	MG457797.1
MF421255.1	KY110719.1
MF421255.1	KX819247.1
MF421255.1	JX259418.1
MF421255.1	JX259419.1
MF421255.1	JX259422.1
MF421255.1	HM042746.1
MF421255.1	HM042748.1
MF421255.1	HM042749.1
MF421255.1	MG457781.1
MF421255.1	MG457777.1
MF421255.1	MG457779.1
MF421255.1	MG457783.1
MF421255.1	MG457778.1
MF421255.1	MF421253.1
MF421255.1	HM042743.1
MF421259.1	MF421259.1
MF421259.1	KM214210.1
MF421259.1	KM214211.1
MF421259.1	EU382213.1
MF421259.1	NC_001651.1
MF421259.1	KY110715.1
MF421259.1	MF346702.1
MF421259.1	MF346703.1
MF421259.1	MF361856.1
MF421259.1	MF421257.1
MF421259.1	KX819228.1
MF421259.1	KX819230.1
MF421259.1	KX823339.1
MF421259.1	KX823340.1
MF421259.1	KX823342.1
MF421259.1	KU936033.2
MF421259.1	KM214212.1
MF421259.1	GQ246195.1
MF421259.1	AY226157.1
MF421259.1	AY226158.1
MF421259.1	AY226159.1
MF421259.1	AY226161.1
MF421259.1	AY226163.1
MF421259.1	MF421256.1
MF421259.1	MF421258.1
MF421259.1	JF742600.1
MF421259.1	GQ246196.1
MF421259.1	KX819229.1
MF421259.1	JX259423.1
MF421259.1	GQ260201.1
MF421259.1	GQ260202.1
MF421259.1	GQ246197.1
MF421259.1	AF428054.1
MF421259.1	AF428056.1
MF421259.1	AF428057.2
MF421259.1	AF359270.1
MF421259.1	AF359272.1
MF421259.1	AF359273.1
MF421259.1	JX259425.1
MF421259.1	FJ773266.1
MF421259.1	KX823341.1
MF421259.1	FJ773262.1
MF421259.1	FJ773263.1
MF421259.1	FJ773265.1
MF421259.1	FJ773267.1
MF421259.1	EU872278.1
MF421259.1	EU382211.1
MF421259.1	EU382212.1
MF421259.1	EU144226.1
MF421259.1	AY226156.1
MF421259.1	AY226160.1
MF421259.1	AY226162.1
MF521431.2	MF521431.2
EF076830.1	EF076830.1
